BunruiNo	LemmaID
43000	265652
12010	213650
15603	214469
11010	214471
43010	67
13030	118
13500	118
13020	214472
13042	46364
23020	155
23680	155
33680	214474
14410	214475
23020	214479
13042	173
31332	170476
31920	170476
33045	170476
33070	170476
13042	291857
13042	291858
13020	164983
13020	46402
13031	297325
33300	46412
11100	216618
31010	301847
15607	305
15130	46456
15020	311
12390	203844
15020	289709
15110	46462
15720	295387
14120	46464
13392	363
14210	200173
23392	46466
15501	216619
15402	46469
11113	324
14600	46470
33420	308
35010	308
35020	308
33420	87040
35010	87040
35020	87040
12590	322
23330	87050
13154	216622
13114	233668
23136	328
23141	328
23330	328
25010	328
12550	46475
13320	216623
15020	326
21552	145586
11635	334
13330	216625
11635	149847
11635	334
11635	325846
15210	216674
15130	216679
15010	46478
15402	154530
14580	341
14370	216683
15605	345
12390	138212
14160	216686
15210	192301
12590	46496
23021	368
25020	46505
25020	186720
14220	216694
35020	216695
31600	354
33020	216697
15401	216698
13091	210089
15010	356
15030	372
23380	216709
21503	375
21540	375
21600	375
23002	375
23142	375
23630	375
23520	216715
23520	41183
25010	216716
25010	358
11552	199307
12760	199307
11560	216865
21552	216867
21527	216869
12390	380
12590	379
11624	382
11624	382
15401	216874
15151	385
12390	197123
15152	198679
15402	46557
11624	390
15502	195503
13750	216891
12590	321536
12390	399
12390	399
12390	272717
12390	272717
14700	216893
33020	216899
12390	208615
23013	91225
23013	71335
12590	309850
12030	245892
21630	221441
15410	221447
15601	97214
12390	315117
21524	221454
12590	326871
15240	221460
12390	409
15401	180945
12412	46585
12390	210829
11830	46590
12390	71822
23013	317003
12390	292335
12390	256949
15240	221467
12390	230576
33068	431
35010	431
31345	185588
33068	185588
33421	185588
23011	46592
23062	46592
23002	436
12412	46585
13046	440
21503	511
21553	511
21570	511
21630	511
21635	511
21503	509
21553	509
21570	509
21630	509
21635	509
21503	445
21553	445
21570	445
23630	445
21503	444
21553	444
21570	444
23630	444
21503	442
21553	442
21570	442
23630	442
21503	524
21527	524
21540	524
23031	524
23063	524
23142	524
23334	524
23630	524
23003	293123
23013	293123
11110	46606
21520	221406
21520	529
23000	529
23000	221477
23000	221479
12030	46804
13430	46807
13430	46610
12390	202437
13683	46806
13430	46612
13430	452
15270	46620
13045	46622
12030	46623
12410	46626
14100	46628
12340	46633
13046	46634
12340	175440
11633	46637
12340	46638
13045	46640
15710	475
15721	195728
13142	482
15501	221510
14440	494
14470	494
12030	46651
12340	118915
12320	148221
15020	46653
14700	513
21540	301232
11584	214934
11635	497
21635	222361
23330	201522
21635	499
11635	222364
11612	498
14220	222366
23380	222368
21513	222372
21635	222375
21553	173091
21635	222377
21540	222381
14460	222413
21553	89814
11635	506
11551	46674
12050	46674
21553	222418
21553	222422
21635	199320
21540	222428
23830	222428
21553	46677
14160	289562
12130	224488
12590	533
12413	222432
12590	222436
12390	256049
14210	178707
11800	222437
11911	322864
12590	46680
11635	538
14200	539
15402	539
15720	593
13330	197329
12590	547
11800	195022
15152	195184
15151	178883
15250	222450
13030	548
15402	548
15605	222451
14310	148468
15502	195545
13811	222453
13331	222456
14430	222456
15020	46687
15151	554
14210	222458
13843	222459
15152	195178
15152	165256
15154	195223
12390	557
12590	83928
13683	99339
23683	42493
13360	222463
13830	222464
15151	222467
13100	311622
14210	222468
15402	222475
13360	222471
31915	198264
15153	222477
31910	540
31911	540
33410	540
35020	540
35040	540
15130	313091
15130	185067
15150	194117
15250	559
11521	46693
21521	331376
15402	222780
15270	214174
11635	323100
12390	177246
12390	261754
12590	222785
15130	154259
15402	222787
12390	309386
14460	222790
14270	222793
15502	222797
13102	46698
15402	222801
31612	46699
15154	46701
31612	222802
14700	222807
12590	316235
12590	326006
31331	568
31911	568
33421	568
15020	222812
12590	575
15210	574
12590	176181
12390	261253
11521	222818
21584	222854
23421	222854
14270	222822
11635	46703
31911	334845
12590	581
31920	582
33002	582
33014	582
33066	582
11635	46705
13560	222832
15250	46706
14710	291863
12390	261737
15020	46708
14400	222836
23683	222843
23683	599
31584	601
35010	601
35020	601
23091	222852
25020	222852
23421	222854
11635	588
31910	222856
35701	199331
12410	46086
13811	222862
11911	308814
23065	222865
23013	222866
23030	222866
23380	222866
23065	590
23380	222867
23380	221303
33420	222868
13100	222869
23380	222871
23683	603
13113	257539
31332	71146
33011	71146
33421	71146
15402	606
13392	605
13721	605
15603	605
13392	607
13721	607
15603	607
13066	216617
15030	609
12390	611
12590	610
13230	211486
14420	211486
15010	200625
14170	172837
11720	46712
14520	260172
15506	234589
15502	199334
12590	103913
13810	260812
12590	326461
12420	615
12590	323016
12390	71907
11700	332105
15020	617
11780	250414
14550	150526
13392	46723
14260	46724
11635	622
11670	622
11700	331993
14280	296164
11635	251229
15403	321689
13113	46729
15603	70974
15600	629
12390	293181
14030	325988
12590	325054
31913	46734
15240	46735
15161	263666
15401	263666
15240	199339
13392	46737
13392	46737
15260	196679
11721	248139
11500	199315
11780	638
12590	640
12410	46086
11332	287309
14161	46747
14650	46747
14120	46748
14650	286472
12413	322664
15410	284588
15240	327485
21583	326868
21583	46771
25020	46771
11643	671
11643	198143
12590	675
12390	258523
15240	332353
41180	292103
15607	698
14410	46764
12411	95470
14210	46765
15607	46767
12590	709
12040	321153
11700	710
33068	317480
23430	713
12418	715
13230	715
13370	715
23230	235042
23370	233198
23370	716
12200	248187
14010	214343
23370	91174
11700	241176
23230	257285
23230	284659
23370	250359
12418	46773
23370	260181
14560	203280
14570	203280
13370	284646
23230	722
23370	722
12330	723
12590	325677
33420	212780
12200	287488
31130	728
13542	230612
12590	729
13045	217605
31130	148540
13045	291883
12590	137102
31915	731
31915	316639
25170	735
25170	736
12590	233656
12590	762
12390	761
13142	46780
15155	46782
12340	264858
23380	238848
23770	727
23020	285187
23030	256043
14000	289258
33012	46788
31302	214644
33012	214644
31660	748
12000	285183
11561	751
11780	753
12000	753
11780	753
12000	753
11700	248046
11633	258859
21120	756
21130	756
21561	756
13430	257038
31332	86708
31346	86708
33070	86708
15401	654
43000	318862
21131	319053
21561	319053
21700	319053
21131	852
21561	852
21700	852
14310	285519
31915	258312
33014	258312
14310	98618
33012	86708
23670	692
13683	46806
21581	205523
15401	46755
15150	316811
14551	167115
31915	808
35710	808
35710	216026
31911	807
33020	807
12390	207432
12330	723
12630	83955
12390	181472
12390	120656
43010	46818
12390	203786
12590	694
14560	694
13370	46756
12301	287981
12390	287981
14201	248061
14560	46760
13112	250360
12390	824
12590	46761
12301	287981
12301	287981
13230	46762
14410	46762
21550	90625
21550	826
12040	46759
12040	321954
12040	317221
12040	227648
12390	71946
21550	832
14310	46821
12390	71948
12390	203785
12390	181995
31911	291072
23660	834
11700	839
41170	838
33300	162262
33410	162262
12590	272657
13400	223995
12390	212558
33422	223324
12330	212781
23430	247885
33422	173595
13132	196447
41180	317341
12590	181973
11670	856
11710	856
11720	856
11740	856
11670	857
11710	857
11720	857
11740	857
11670	856
11710	856
11720	856
11740	856
11720	46842
12130	301705
11720	323060
11720	199290
15161	287591
11771	326816
11740	289594
11830	885
43010	95055
31920	889
31921	889
33040	889
33045	889
12590	295486
12590	317765
11642	46870
11643	46870
11730	46870
11730	294280
11730	293765
33680	248092
23683	42861
43010	321231
12390	269994
12140	902
43120	46872
12140	908
12140	285747
12590	327128
31010	912
43100	238240
12590	83968
12590	278835
33420	101302
33042	1293
33420	1293
21342	1303
21550	1303
23063	1303
23066	1303
23350	1303
23551	1303
33420	212572
11110	47365
11721	47365
11911	47365
15020	47365
23683	223188
15153	47373
31341	230037
14410	46877
21344	218953
12600	931
15701	46350
13811	211461
23520	249356
23520	249356
23560	249356
11110	168
11113	168
11600	168
11721	168
11652	326651
13121	156
15505	46881
23040	140696
21550	319785
21535	935
14541	4419
25151	277
12590	103143
14150	48380
15401	162011
31332	233349
31346	957
13422	204360
15402	268
15402	257117
15250	331227
14540	46884
15601	289724
14140	960
25600	300791
25600	300791
25702	199822
13700	98358
25170	970
12590	313627
12390	975
23393	41944
23132	214996
23520	214996
23842	214996
15401	325992
31230	46413
33000	46413
12413	46292
12410	44431
12413	307856
33041	313690
21522	87057
15151	285713
14570	285204
15503	46910
25152	325315
15152	237664
25152	243458
21540	87058
15152	1002
15152	243454
14322	46917
15154	46918
21532	316687
14210	288476
14210	320884
14210	191781
35050	990
23500	1005
11800	191782
15605	247772
15130	250429
21513	334708
31910	46925
11612	287220
11700	295752
11630	286194
11635	317478
14440	301574
15151	199086
12030	198453
14400	300427
15200	300427
11563	317218
21563	317219
14330	258664
25010	87059
25010	87059
25010	317817
31940	95568
12390	1018
15200	288514
14710	326936
15154	334755
15030	287334
15605	257054
12413	239554
14660	221782
11600	193371
15130	1021
12410	247774
12040	314718
13333	1027
23020	993
23041	993
25040	993
11635	1028
11931	1029
31920	1029
21931	1034
12590	83979
14161	1037
12413	334789
12030	1040
14460	1042
13811	225053
11840	46518
21551	1050
21535	935
21535	259748
21535	293114
15153	1054
15200	46521
15501	46525
15150	1057
23031	287249
15130	200414
15200	46529
12030	46529
15200	46529
12030	256658
35150	293242
12120	316567
12120	322147
33011	214672
14201	42159
11840	42159
31331	1072
33068	1072
33410	1072
23061	215310
11340	291013
23061	46537
21533	290164
15401	192314
23230	1076
33070	101296
31920	319773
31611	200
31920	200
33020	200
31611	200
31920	200
33020	200
14201	194593
31346	1068
33013	1068
33066	1068
13061	306021
21346	311162
23061	1082
12390	1084
13440	1085
13470	1085
15720	1085
21572	46543
23071	46543
23440	46543
23470	46543
23670	46543
25702	46543
11302	1086
13046	1086
13071	1086
23071	1088
23530	1088
25721	1088
14460	325768
12040	323063
15402	42629
11840	46544
13063	46544
13071	46544
15402	257119
15504	42096
12130	258059
21130	219881
15151	294655
15504	296310
11522	1094
21523	258688
21532	89927
21527	89840
21573	205527
21521	267134
21527	322351
21560	1096
21521	255950
21522	1097
23067	322168
43000	1100
31400	1104
33422	1104
31341	1104
15260	46563
15260	46568
12300	46569
14410	119044
14420	265493
31670	1121
14120	46578
14700	322650
14700	334369
21525	138767
15501	326081
33430	284406
33422	239348
14515	258507
14460	46588
31400	1108
33422	1108
35230	1108
31341	1107
15151	1131
21344	1135
31210	1141
12590	293334
14700	288960
31660	1141
31660	748
23543	47294
23380	47293
14201	239968
12590	270543
21500	1147
21500	1150
23860	216321
11623	309996
11635	326470
12590	317447
13860	47296
23860	301323
12740	1151
14270	313084
15155	1152
15240	1153
14700	287223
21210	1171
14200	292228
23680	322308
23680	317831
23680	186655
23841	1119
14323	47311
31400	248201
33430	248201
35230	248201
13066	1161
13123	248088
13066	238788
23066	259036
15403	47314
15240	327074
31340	47316
33430	47316
15153	47320
11840	285348
12590	331299
12590	319398
15505	42641
11200	1176
21200	1216
21584	1216
21600	1216
23330	1216
11635	47323
12390	277757
12390	157011
11700	47328
11902	288510
12390	289802
31331	97200
31346	97200
33021	97200
12590	331677
21523	1187
21200	1187
12390	212786
11300	1189
11310	1189
12390	268566
15260	46563
15260	202310
11523	202310
21200	284417
12590	316901
21332	89830
23050	89830
23333	89830
23350	89830
25701	89830
12390	281107
12390	72078
11700	196887
12630	287524
11200	288171
21200	205545
31030	1201
12390	72080
12390	72081
12390	239101
12390	258025
23330	221146
12390	271560
12390	235664
12390	114923
12390	1210
31346	200044
33068	1215
21344	1282
23380	1282
25154	1282
25701	290783
41140	1218
11523	1219
21523	1224
12220	1229
12320	1229
12450	1229
13520	1229
12220	265696
33030	295107
31332	249266
12590	190581
12010	239475
11010	1270
11700	1270
12010	1270
25701	310019
21344	248252
23002	248252
12220	1229
15130	1291
31913	1304
25152	47370
23013	1306
13332	328041
23013	230914
23013	47371
14160	230523
14210	287439
15020	333761
15020	263
15402	306963
12590	270
15020	270
15152	43600
15152	198260
15152	198260
15501	311100
12420	46430
35020	269
35020	291843
14700	46435
14201	46431
15402	259689
15402	45738
15155	213208
15020	239765
15605	247321
15410	292
14220	289653
14580	182301
15250	287263
15607	280871
13230	46453
15401	46453
15401	46453
15240	317832
13066	1321
13151	1321
14470	1321
11346	47389
11623	103578
12390	1350
12390	203784
23061	294166
14430	47424
13060	1356
14650	286472
23061	1363
31346	1366
11513	1383
11513	1383
13013	1402
11623	103579
11300	1408
11320	1408
13132	1408
13522	1408
13550	43477
12600	229864
15401	180982
12390	303082
11623	103579
13550	1413
13831	1510
13003	197331
14161	237813
23851	89719
13510	119432
35030	299398
12418	70778
12130	70811
12340	70814
12340	38664
12340	70861
31584	308318
12418	38668
31345	38716
13532	38730
13371	38743
35230	70747
23851	89229
11920	1611
12390	1636
12590	47707
31920	2179
31920	2179
31010	1614
31010	1614
14420	202191
23851	47690
21535	253658
31010	305671
12590	84007
14660	44012
12415	144061
15140	47695
31010	103422
41180	103422
43130	103422
12590	84008
31400	47710
31800	47710
33310	47710
31010	47713
23030	290122
14153	1627
14540	1627
13012	1626
21570	1629
23012	1629
23390	1629
23393	1629
12590	1630
15502	326927
31010	1632
13135	1709
12590	1647
15701	1651
15700	1649
15710	1649
21552	245236
25701	230555
33014	287329
21210	251226
13030	47746
15710	47746
15700	172078
21524	255690
12030	284346
33003	47771
21552	255969
21521	1682
23393	1684
23393	1684
23012	1689
25701	245404
25701	1696
21560	257966
12030	65442
23030	1698
23600	1698
21550	245196
15600	47776
15040	172718
21527	199546
23851	179946
23520	146845
21527	1713
25701	1765
25701	293601
25701	1705
12420	47795
13551	47795
12030	150520
14170	190937
11902	327646
11960	147189
12590	1726
12000	141090
12590	1728
31920	47798
11623	223841
11960	1737
15260	242171
12590	158457
14210	47729
11920	1611
12390	72211
15250	1747
12590	174027
15501	197858
12390	330761
12590	1756
14410	202383
13613	47820
23613	47821
15155	313549
15130	275085
14700	285177
13061	1766
11670	1783
12410	289426
12530	1778
12590	1780
23851	89230
23851	89151
43010	1803
43200	1803
43100	144996
43210	144996
33420	1792
15111	47841
15401	330994
31910	1795
31921	1795
31910	1795
31921	1795
13430	199554
33330	47842
23520	284171
33000	1798
12590	309977
13000	307130
23011	334625
23640	42733
23670	42733
23040	47844
13640	194257
13811	47847
14600	47847
15161	47849
23811	317351
43200	181585
12410	1809
12590	183494
14570	1812
15111	1812
31302	307547
14470	215387
15605	210090
13066	316378
12390	1829
14440	1836
12390	1838
14720	1839
12590	199560
14152	1846
14710	312080
12590	1852
14710	50188
21522	287269
15111	50187
14580	1854
11721	287396
14270	228975
12390	275153
11920	1898
12590	1868
13831	50196
14551	45532
13160	50197
13330	50204
14720	276166
14310	138636
12590	159802
12390	242181
12390	72326
12590	1947
12630	1947
13075	50226
11670	1966
12390	72339
12390	239779
15260	1968
21210	285364
15010	213165
33013	1976
33320	1976
21660	252758
